"X","Grupo","IdEvaluado","IdEvaluador","Criterio","Calificacion","Comentario","Sentimiento","Relevancia"
"1","GRUPO 1","1","1","Completo","3"," ","0",""
"2","GRUPO 1","2","2","Completo","4","El contenido fue muy entendible y concreto","1",""
"3","GRUPO 1","3","3","Completo","3","Tenian completo todo lo referente a su presentación","1",""
"4","GRUPO 1","4","4","Completo","3","Es entendible","1",""
"5","GRUPO 1","5","5","Completo","3"," ","0",""
"6","GRUPO 1","6","6","Completo","3"," ","0",""
"7","GRUPO 1","7","7","Completo","3","Entendi un poco de la problemática","-1",""
"8","GRUPO 1","8","8","Completo","3","Falta un poco de introducción","-1",""
"9","GRUPO 1","9","9","Completo","3","Se entiende poco, pero deben estar seguros de sis mismo","-1",""
"10","GRUPO 1","10","10","Completo","4"," ","0",""
"11","GRUPO 1","11","11","Completo","3"," ","0",""
"12","GRUPO 1","12","12","Completo","3","El contenido parece completo pero no explicado","0",""
"13","GRUPO 1","13","13","Completo","3"," ","0",""
"14","GRUPO 1","14","14","Completo","3","Si estubo completo el contenido","1",""
"15","GRUPO 1","15","15","Completo","3","Falta un poco mas de introducción","-1",""
"16","GRUPO 1","16","16","Completo","3","El contenido estubo completo pero le falta mas fluides de las palabras","0",""
"17","GRUPO 1","17","19","Completo","3"," ","0",""
"18","GRUPO 1","18","20","Completo","3"," ","0",""
"19","GRUPO 1","19","21","Completo","4"," ","0",""
"20","GRUPO 1","20","22","Completo","3"," ","0",""
"21","GRUPO 1","21","23","Completo","3","Faltó explicar contenido","-1",""
"22","GRUPO 1","22","24","Completo","3","Su información estubo genial","1",""
"23","GRUPO 1","23","25","Completo","2","Poca claridad en las diapositivas","-1",""
"24","GRUPO 1","24","26","Completo","3"," ","0",""
"25","GRUPO 1","25","29","Completo","2"," ","0",""
"26","GRUPO 1","26","30","Completo","3"," ","0",""
"27","GRUPO 1","27","31","Completo","4","Si se cumplio con lo requerido","1",""
"28","GRUPO 1","28","32","Completo","3"," ","0",""
"29","GRUPO 1","29","33","Completo","3"," ","0",""
"30","GRUPO 1","30","34","Completo","3","Falta algo de argumentación","-1",""
"31","GRUPO 1","31","36","Completo","3"," ","0",""
"32","GRUPO 1","32","37","Completo","3","Faltó información más detallada","-1",""
"33","GRUPO 2","1","1","Completo","3"," ","0",""
"34","GRUPO 2","2","3","Completo","3","Tenian la mayor parte del codigo y estaba clara su presentación","1",""
"35","GRUPO 2","3","4","Completo","2"," ","0",""
"36","GRUPO 2","4","7","Completo","3","Claro y presiso comprender lo que se habla","1",""
"37","GRUPO 2","5","8","Completo","3"," ","0",""
"38","GRUPO 2","6","9","Completo","2"," ","0",""
"39","GRUPO 2","7","10","Completo","3","Mas o menos","0",""
"40","GRUPO 2","8","11","Completo","4"," ","0",""
"41","GRUPO 2","9","12","Completo","2"," ","0",""
"42","GRUPO 2","10","13","Completo","3"," ","0",""
"43","GRUPO 2","11","14","Completo","3","Les faltó un poco de objetividad","-1",""
"44","GRUPO 2","12","15","Completo","3"," ","0",""
"45","GRUPO 2","13","16","Completo","3","Mas fluides de palabras","0",""
"46","GRUPO 2","14","19","Completo","2","Les falto contenido en resultado","-1",""
"47","GRUPO 2","15","20","Completo","3"," ","0",""
"48","GRUPO 2","16","21","Completo","2","Si se puede entender pero faltó ser mas claro","0",""
"49","GRUPO 2","17","22","Completo","3"," ","0",""
"50","GRUPO 2","18","23","Completo","3"," ","0",""
"51","GRUPO 2","19","24","Completo","3","Les falto un poco de claridad","-1",""
"52","GRUPO 2","20","25","Completo","2"," ","0",""
"53","GRUPO 2","21","26","Completo","2","Les falto parte del contenido","-1",""
"54","GRUPO 2","22","27","Completo","2"," ","0",""
"55","GRUPO 2","23","28","Completo","3","Faltó un poco de especificaciones","-1",""
"56","GRUPO 2","24","29","Completo","2"," ","0",""
"57","GRUPO 2","25","30","Completo","3"," ","0",""
"58","GRUPO 2","26","31","Completo","3"," ","0",""
"59","GRUPO 2","27","32","Completo","3"," ","0",""
"60","GRUPO 2","28","33","Completo","2"," ","0",""
"61","GRUPO 2","29","34","Completo","3","Faltaron ciertas pautas","-1",""
"62","GRUPO 2","30","36","Completo","3"," ","0",""
"63","GRUPO 2","31","37","Completo","2","La mayoria fue lectura y no fue compresible","-1",""
"64","GRUPO 3","1","5","Completo","3","Se entiende","1",""
"65","GRUPO 3","2","6","Completo","1","Falta los resultados","-1",""
"66","GRUPO 3","3","7","Completo","3","Porque falto parte del resultado","-1",""
"67","GRUPO 3","4","8","Completo","3"," ","0",""
"68","GRUPO 3","5","9","Completo","2"," ","0",""
"69","GRUPO 3","6","10","Completo","3","Yo comprendí la idea del proyecto","1",""
"70","GRUPO 3","7","11","Completo","3","Faltaron resultados","-1",""
"71","GRUPO 3","8","13","Completo","2","Le faltaron los resultados, es decir las métricas solicitadas","-1",""
"72","GRUPO 3","9","14","Completo","2","No fue preciso al momento de explicar","-1",""
"73","GRUPO 3","10","16","Completo","2"," ","0",""
"74","GRUPO 3","11","17","Completo","3","Es entendible","1",""
"75","GRUPO 3","12","18","Completo","3","Es entendible la presentación","1",""
"76","GRUPO 3","13","19","Completo","2"," ","0",""
"77","GRUPO 3","14","20","Completo","2","Por falta de tiempo no se pudo entender bien","-1",""
"78","GRUPO 3","15","23","Completo","3","Estuvo relativamente bien","1",""
"79","GRUPO 3","16","25","Completo","2","Códigos sin pruebas","-1",""
"80","GRUPO 3","17","26","Completo","4"," ","-1",""
"81","GRUPO 3","18","27","Completo","3","Le falto las métricas","-1",""
"82","GRUPO 3","19","28","Completo","2","Casi no fue entendible","-1",""
"83","GRUPO 3","20","29","Completo","2"," ","0",""
"84","GRUPO 3","21","30","Completo","2","Falto pruebas del código","-1",""
"85","GRUPO 3","22","31","Completo","3"," ","0",""
"86","GRUPO 4","1","1","Completo","3"," ","0",""
"87","GRUPO 4","2","2","Completo","3","Su documentacion fue muy comprensible","1",""
"88","GRUPO 4","3","3","Completo","2","Les falta el demo del proyecto","-1",""
"89","GRUPO 4","4","4","Completo","3"," ","0",""
"90","GRUPO 4","5","5","Completo","3"," ","0",""
"91","GRUPO 4","6","6","Completo","3"," ","0",""
"92","GRUPO 4","7","7","Completo","2","No comprendo","-1",""
"93","GRUPO 4","8","8","Completo","3"," ","0",""
"94","GRUPO 4","9","9","Completo","3","No se entiende","-1",""
